CODE,DESCRIPTION,MUNICITY,MUNICITY_1_2_3_4
012801000,Adams,012801000Adams,012801000Adams
012802000,Bacarra,012802000Bacarra,012802000Bacarra
012803000,Badoc,012803000Badoc,012803000Badoc
012804000,Bangui,012804000Bangui,012804000Bangui
012805000,City of Batac,012805000City of Batac,012805000City of Batac
012806000,Burgos,012806000Burgos,012806000Burgos
012807000,Carasi,012807000Carasi,012807000Carasi
012808000,Currimao,012808000Currimao,012808000Currimao
012809000,Dingras,012809000Dingras,012809000Dingras
012810000,Dumalneg,012810000Dumalneg,012810000Dumalneg
012811000,Banna,012811000Banna,012811000Banna
012812000,City of Laoag (Capital),012812000City of Laoag (Capital),012812000City of Laoag (Capital)
012813000,Marcos,012813000Marcos,012813000Marcos
012814000,Nueva Era,012814000Nueva Era,012814000Nueva Era
012815000,Pagudpud,012815000Pagudpud,012815000Pagudpud
012816000,Paoay,012816000Paoay,012816000Paoay
012817000,Pasuquin,012817000Pasuquin,012817000Pasuquin
012818000,Piddig,012818000Piddig,012818000Piddig
012819000,Pinili,012819000Pinili,012819000Pinili
012820000,San Nicolas,012820000San Nicolas,012820000San Nicolas
012821000,Sarrat,012821000Sarrat,012821000Sarrat
012822000,Solsona,012822000Solsona,012822000Solsona
012823000,Vintar,012823000Vintar,012823000Vintar
012901000,Alilem,012901000Alilem,012901000Alilem
012902000,Banayoyo,012902000Banayoyo,012902000Banayoyo
012903000,Bantay,012903000Bantay,012903000Bantay
012904000,Burgos,012904000Burgos,012904000Burgos
012905000,Cabugao,012905000Cabugao,012905000Cabugao
012906000,City of Candon,012906000City of Candon,012906000City of Candon
012907000,Caoayan,012907000Caoayan,012907000Caoayan
012908000,Cervantes,012908000Cervantes,012908000Cervantes
012909000,Galimuyod,012909000Galimuyod,012909000Galimuyod
012910000,Gregorio del Pilar,012910000Gregorio del Pilar,012910000Gregorio del Pilar
012911000,Lidlidda,012911000Lidlidda,012911000Lidlidda
012912000,Magsingal,012912000Magsingal,012912000Magsingal
012913000,Nagbukel,012913000Nagbukel,012913000Nagbukel
012914000,Narvacan,012914000Narvacan,012914000Narvacan
012915000,Quirino,012915000Quirino,012915000Quirino
012916000,Salcedo,012916000Salcedo,012916000Salcedo
012917000,San Emilio,012917000San Emilio,012917000San Emilio
012918000,San Esteban,012918000San Esteban,012918000San Esteban
012919000,San Ildefonso,012919000San Ildefonso,012919000San Ildefonso
012920000,San Juan,012920000San Juan,012920000San Juan
012921000,San Vicente,012921000San Vicente,012921000San Vicente
012922000,Santa,012922000Santa,012922000Santa
012923000,Santa Catalina,012923000Santa Catalina,012923000Santa Catalina
012924000,Santa Cruz,012924000Santa Cruz,012924000Santa Cruz
012925000,Santa Lucia,012925000Santa Lucia,012925000Santa Lucia
012926000,Santa Maria,012926000Santa Maria,012926000Santa Maria
012927000,Santiago,012927000Santiago,012927000Santiago
012928000,Santo Domingo,012928000Santo Domingo,012928000Santo Domingo
012929000,Sigay,012929000Sigay,012929000Sigay
012930000,Sinait,012930000Sinait,012930000Sinait
012931000,Sugpon,012931000Sugpon,012931000Sugpon
012932000,Suyo,012932000Suyo,012932000Suyo
